last_name, first_name,player_id,year,b_ab,b_swinging_strike,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,oz_swing_percent,pitch_count,f_strike_percent,
Pham, Tommy,502054,2021,475,214,.258,.443,.354,.366,.185,90.8,7.6,35.6,35,10,59.9,16.1,2374,55.3,
Martinez, J.D.,502110,2021,570,382,.288,.534,.374,.352,.246,92.1,16.9,41.2,53,12.5,76.5,33.7,2410,63,
Goldschmidt, Paul,502671,2021,603,302,.293,.575,.397,.366,.282,92.6,17.1,36.9,64,13.6,64.4,25.2,2751,57.3,
Altuve, Jose,514888,2021,601,187,.262,.421,.332,.339,.159,87.7,15.6,32.1,33,6.4,66.7,30.5,2489,63.5,
Hernandez, Cesar,514917,2021,570,255,.243,.386,.311,.319,.144,87.4,10.7,32.6,30,6.8,68.3,26.1,2457,61.2,
Segura, Jean,516416,2021,514,182,.266,.396,.319,.328,.130,87.2,5.8,31.1,26,5.9,66.6,30.2,2182,62.4,
Marte, Starling,516782,2021,467,238,.277,.438,.347,.354,.161,87.6,4.6,32.6,31,8.4,71,30.1,1970,64.2,
Donaldson, Josh,518626,2021,457,265,.269,.542,.388,.372,.273,94.1,14.6,30.2,61,17.4,70.2,22.6,2125,57.9,
Freeman, Freddie,518692,2021,600,289,.320,.583,.416,.410,.263,91.4,12,37.2,57,11.5,77.5,25.6,2688,58.1,
LeMahieu, DJ,518934,2021,597,158,.283,.397,.340,.366,.114,90.6,5,33.3,19,3.7,61.8,20.5,2660,61.2,
Rizzo, Anthony,519203,2021,496,216,.261,.434,.347,.356,.173,90.1,14.8,31.4,32,7.7,64.5,29.3,2230,57.6,
Stanton, Giancarlo,519317,2021,510,350,.262,.498,.363,.346,.237,95.1,10.3,32.6,56,15.7,63.5,28,2426,56.6,
Perez, Salvador,521692,2021,620,474,.276,.566,.374,.321,.290,93,15.9,34.1,74,16.3,78.6,44.6,2392,64.9,
Garcia, Avisail,541645,2021,461,343,.278,.515,.367,.347,.237,90.4,9.3,35.9,42,12.2,81.8,37.2,1755,66.1,
Villar, Jonathan,542340,2021,454,296,.235,.388,.307,.310,.153,88,7,29.9,24,7.4,74.7,27.9,1967,61.8,
Aguilar, Jesus,542583,2021,449,240,.260,.453,.334,.329,.193,89.6,19,34.7,31,8.5,63.8,27.3,2066,54.6,
Crawford, Brandon,543063,2021,483,323,.259,.492,.356,.341,.233,88.8,14.7,35.8,44,11.5,77.6,27.9,2136,61.1,
Cron, C.J.,543068,2021,470,283,.261,.481,.364,.360,.220,88.8,15.8,31.9,41,11.5,66.2,30.9,2191,55,
Grossman, Robbie,543257,2021,557,234,.234,.399,.334,.355,.165,87.8,21.1,39.5,31,7.6,63.4,15.6,2817,54.3,
Harrison, Josh,543281,2021,505,195,.278,.420,.333,.340,.142,87.2,14.5,39.5,19,4.4,75.1,35.5,1877,65.1,
Hosmer, Eric,543333,2021,509,243,.268,.407,.327,.337,.139,90.5,3.3,26.6,24,5.8,67,31.8,2200,61.4,
Semien, Marcus,543760,2021,652,284,.245,.455,.333,.317,.210,89.7,20.3,35.2,50,9.8,69.7,21.2,2923,59.5,
Grichuk, Randal,545341,2021,511,243,.235,.405,.298,.278,.170,89.8,16.1,30.4,34,8.5,73.7,32.4,2004,61.3,
Harper, Bryce,547180,2021,488,364,.301,.610,.430,.424,.309,92.5,13.3,38.9,65,18.1,75.4,24.7,2401,56.1,
Abreu, Jose,547989,2021,566,349,.252,.457,.349,.347,.205,92,10.4,31.2,44,10.2,66.7,32.1,2606,62.3,
Suarez, Eugenio,553993,2021,505,302,.215,.455,.326,.302,.240,89.1,18.3,33,51,15,64.3,23.2,2391,62.2,
Schoop, Jonathan,570731,2021,623,335,.258,.404,.311,.305,.147,88.1,10.8,30.1,34,6.8,71,35.2,2588,59.1,
Arenado, Nolan,571448,2021,593,211,.248,.420,.311,.308,.172,89,20,34.1,34,6.7,67.3,29,2443,58.9,
Farmer, Kyle,571657,2021,483,195,.252,.383,.302,.306,.132,87.2,15.8,36,17,4.3,65.2,35.6,1955,62.5,
Haniger, Mitch,571745,2021,620,385,.262,.498,.354,.329,.236,89.3,14.8,33.6,58,12.6,65,29.2,2775,62.3,
Hernandez, Enrique,571771,2021,508,238,.253,.455,.346,.342,.202,90.8,17.9,36.5,34,8.4,66.7,24.9,2265,58.5,
Muncy, Max,571970,2021,497,214,.272,.583,.408,.388,.311,91.2,15.2,34.9,61,16.1,60.3,15.7,2434,54.1,
Seager, Kyle,572122,2021,603,375,.222,.454,.320,.295,.232,89,19.5,35.7,55,12.3,72.3,29.2,2554,58,
Taylor, Michael A.,572191,2021,483,339,.246,.391,.301,.299,.145,89.4,12.1,30.6,23,6.6,75.4,30.4,2113,63.1,
Yastrzemski, Mike,573262,2021,468,234,.222,.432,.318,.309,.211,89.5,19.4,33.1,35,10.3,67.9,23,2103,58.6,
Iglesias, Jose,578428,2021,483,193,.271,.367,.299,.309,.097,85.4,11.3,35.5,14,3.4,68.5,43.2,1858,63,
Bryant, Kris,592178,2021,513,305,.260,.449,.346,.349,.189,88.2,15.1,37.1,39,10.3,73.7,26.6,2232,61.3,
Canha, Mark,592192,2021,519,230,.231,.378,.332,.358,.147,87.3,13.5,36.1,28,7.1,61.5,20.7,2642,55.5,
Castellanos, Nick,592206,2021,531,361,.293,.535,.374,.350,.241,89.8,14,44,44,10.6,78.8,36.3,2143,61.3,
Judge, Aaron,592450,2021,550,328,.308,.594,.418,.394,.286,95.8,11.6,38.5,70,17.6,66.1,23.6,2654,59.6,
Machado, Manny,592518,2021,564,247,.295,.531,.380,.367,.236,93.1,14,33.8,63,13.3,70.2,28.9,2238,61.5,
Realmuto, J.T.,592663,2021,476,280,.253,.416,.329,.335,.164,89.6,11.5,31.2,30,8.6,70,30.4,2096,62.5,
Renfroe, Hunter,592669,2021,521,274,.260,.506,.354,.320,.245,90.1,15.6,32.7,57,14.4,66.7,31.7,2191,66.6,
Merrifield, Whit,593160,2021,664,236,.263,.383,.301,.306,.120,86.9,14.1,40,20,3.5,71.3,29,2608,60.5,
Bogaerts, Xander,593428,2021,529,252,.280,.468,.359,.359,.189,89.6,12.5,36.4,41,9.7,62.4,31,2505,58.1,
Polanco, Jorge,593871,2021,588,243,.267,.488,.348,.323,.220,89.4,19.3,36.1,48,10.1,70.5,29.7,2489,59.6,
Sano, Miguel,593934,2021,470,374,.216,.440,.322,.306,.224,93.4,17.6,32.3,51,17.7,66.1,26.6,2195,60.9,
Duvall, Adam,594807,2021,513,316,.227,.499,.330,.281,.271,89.8,23.6,33.3,55,16.1,67.1,33.8,2158,61.6,
Baez, Javier,595879,2021,502,476,.241,.456,.325,.299,.214,90.1,10.6,32.7,43,13.4,75.9,44.5,2065,64.1,
Lindor, Francisco,596019,2021,452,230,.254,.453,.345,.345,.199,90.7,14.4,35.6,30,8.2,70.9,26,2096,58.5,
Story, Trevor,596115,2021,526,335,.245,.451,.336,.326,.206,90.6,17.5,34.2,39,9.9,73.7,30.3,2402,62.8,
Candelario, Jeimer,600869,2021,557,284,.278,.465,.357,.358,.187,88.7,12.6,38.6,38,9,68.6,29.1,2547,61,
Bell, Josh,605137,2021,498,246,.277,.488,.367,.363,.211,92.5,4.9,28.5,35,8.8,74,23.8,2182,58.8,
Betts, Mookie,605141,2021,466,151,.263,.445,.357,.369,.182,90.3,18.9,34,30,7.8,63.9,18.2,2232,58.2,
Tapia, Raimel,606132,2021,487,149,.250,.318,.281,.307,.068,85.7,-4.4,19.9,9,2.1,69,33,1973,59.1,
